date,home_team,away_team,home_score,away_score,tournament,country,neutral
15/07/1966,Spain,Switzerland,2,1,World Cup,England,TRUE
16/07/1966,England,Mexico,2,0,World Cup,England,FALSE
16/07/1966,Argentina,West Germany,0,0,World Cup,England,TRUE
16/07/1966,Soviet Union,Italy,1,0,World Cup,England,TRUE
16/07/1966,Portugal,Bulgaria,3,0,World Cup,England,TRUE
19/07/1966,North Korea,Italy,1,0,World Cup,England,TRUE
19/07/1966,Mexico,Uruguay,0,0,World Cup,England,TRUE
19/07/1966,Argentina,Switzerland,2,0,World Cup,England,TRUE
19/07/1966,Portugal,Brazil,3,1,World Cup,England,TRUE
20/07/1966,Soviet Union,Chile,2,1,World Cup,England,TRUE
20/07/1966,England,France,2,0,World Cup,England,FALSE
20/07/1966,Hungary,Bulgaria,3,1,World Cup,England,TRUE
20/07/1966,West Germany,Spain,2,1,World Cup,England,TRUE
23/07/1966,China,Syria,6,0,Friendly,China,FALSE
23/07/1966,Portugal,North Korea,5,3,World Cup,England,TRUE
23/07/1966,West Germany,Uruguay,4,0,World Cup,England,TRUE
23/07/1966,England,Argentina,1,0,World Cup,England,FALSE
23/07/1966,Soviet Union,Hungary,2,1,World Cup,England,TRUE
25/07/1966,West Germany,Soviet Union,2,1,World Cup,England,TRUE
26/07/1966,England,Portugal,2,1,World Cup,England,FALSE
28/07/1966,Portugal,Soviet Union,2,1,World Cup,England,TRUE
30/07/1966,England,West Germany,4,2,World Cup,England,FALSE
31/07/1966,Congo,Cameroon,3,2,Friendly,Congo,FALSE
31/07/1966,Sudan,Uganda,2,1,East African Friendship Cup,Ethiopia,TRUE
07/08/1966,DR Congo,Central African Republic,5,0,Friendly,DR Congo,FALSE
13/08/1966,Malaysia,South Vietnam,5,2,Independence Tournament,Malaysia,FALSE
13/08/1966,Burma,Singapore,2,2,Independence Tournament,Malaysia,TRUE
14/08/1966,India,Hong Kong,2,0,Independence Tournament,Malaysia,TRUE
14/08/1966,Norway,Finland,1,1,Nordic Championship,Norway,FALSE
15/08/1966,Taiwan,Thailand,2,1,Independence Tournament,Malaysia,TRUE
17/08/1966,Burma,Thailand,3,0,Independence Tournament,Malaysia,TRUE
17/08/1966,Malaysia,Hong Kong,1,0,Independence Tournament,Malaysia,FALSE
18/08/1966,Singapore,Taiwan,4,1,Independence Tournament,Malaysia,TRUE
18/08/1966,Togo,Ghana,1,1,Friendly,Togo,FALSE
19/08/1966,South Korea,Hong Kong,1,0,Independence Tournament,Malaysia,TRUE
19/08/1966,Malaysia,Thailand,0,0,Independence Tournament,Malaysia,FALSE
20/08/1966,South Vietnam,Singapore,2,1,Independence Tournament,Malaysia,TRUE
21/08/1966,South Korea,Thailand,2,1,Independence Tournament,Malaysia,TRUE
21/08/1966,Malaysia,Burma,0,0,Independence Tournament,Malaysia,FALSE
21/08/1966,Ghana,Togo,6,2,Friendly,Ghana,FALSE
22/08/1966,Singapore,India,1,0,Independence Tournament,Malaysia,TRUE
22/08/1966,South Vietnam,Taiwan,3,0,Independence Tournament,Malaysia,TRUE
23/08/1966,Burma,South Korea,2,0,Independence Tournament,Malaysia,TRUE
23/08/1966,Hong Kong,Thailand,2,2,Independence Tournament,Malaysia,TRUE
24/08/1966,India,Taiwan,1,0,Independence Tournament,Malaysia,TRUE
25/08/1966,Burma,Hong Kong,2,0,Independence Tournament,Malaysia,TRUE
26/08/1966,India,South Vietnam,1,0,Independence Tournament,Malaysia,TRUE
27/08/1966,Malaysia,South Korea,1,2,Independence Tournament,Malaysia,FALSE
28/08/1966,China,Mali,4,0,Friendly,China,FALSE
28/08/1966,India,South Korea,1,0,Independence Tournament,Malaysia,TRUE
28/08/1966,South Vietnam,Burma,1,0,Independence Tournament,Malaysia,TRUE
28/08/1966,Guinea,Cameroon,2,2,Friendly,Guinea,FALSE
29/08/1966,Singapore,South Vietnam,2,2,Friendly,Singapore,FALSE
30/08/1966,Guinea,Mali,5,0,Friendly,Guinea,FALSE
31/08/1966,Singapore,South Korea,1,3,Friendly,Singapore,FALSE
31/08/1966,Togo,Ivory Coast,1,2,Friendly,Togo,FALSE
04/09/1966,East Germany,Egypt,6,0,Friendly,East Germany,FALSE
06/09/1966,Zambia,Kenya,0,1,Friendly tournament,Zambia,FALSE
07/09/1966,Netherlands,Hungary,2,2,European Championship qual,Netherlands,FALSE
09/09/1966,Zambia,Kenya,2,1,Friendly tournament,Zambia,FALSE
11/09/1966,East Germany,Poland,2,0,Friendly,East Germany,FALSE
13/09/1966,Zambia,Kenya,5,4,Friendly tournament,Zambia,FALSE
18/09/1966,Austria,Netherlands,2,1,Friendly,Austria,FALSE
18/09/1966,Norway,Sweden,2,4,Nordic Championship,Norway,FALSE
18/09/1966,Finland,Denmark,2,1,Nordic Championship,Finland,FALSE
18/09/1966,Yugoslavia,Soviet Union,1,2,Friendly,Yugoslavia,FALSE
21/09/1966,Hungary,Denmark,6,0,European Championship qual,Hungary,FALSE
21/09/1966,East Germany,Romania,2,0,Friendly,East Germany,FALSE
24/09/1966,Zanzibar,Kenya,1,3,Gossage Cup,Zanzibar,FALSE
25/09/1966,Uganda,Tanzania,3,0,Gossage Cup,Zanzibar,TRUE
27/09/1966,Kenya,Uganda,0,0,Gossage Cup,Zanzibar,TRUE
28/09/1966,Zanzibar,Tanzania,0,4,Gossage Cup,Zanzibar,FALSE
28/09/1966,Hungary,France,4,2,Friendly,Hungary,FALSE
30/09/1966,Kenya,Tanzania,3,2,Gossage Cup,Zanzibar,TRUE
01/10/1966,Zanzibar,Uganda,0,0,Gossage Cup,Zanzibar,FALSE
02/10/1966,Finland,Austria,0,0,European Championship qual,Finland,FALSE
02/10/1966,Poland,Luxembourg,4,0,European Championship qual,Poland,FALSE
05/10/1966,Sweden,Austria,4,1,Friendly,Sweden,FALSE
12/10/1966,Turkey,West Germany,0,2,Friendly,Turkey,FALSE
12/10/1966,Israel,Yugoslavia,1,3,Friendly,Israel,FALSE
15/10/1966,French Guiana,Suriname,3,3,Friendly,French Guiana,FALSE
16/10/1966,French Guiana,Suriname,0,3,Friendly,French Guiana,FALSE
16/10/1966,Greece,Finland,2,1,European Championship qual,Greece,FALSE
16/10/1966,Soviet Union,Turkey,0,2,Friendly,Soviet Union,FALSE
19/10/1966,Yugoslavia,Czechoslovakia,1,0,Friendly,Yugoslavia,FALSE
22/10/1966,Wales,Scotland,1,1,Euro Ch q & British Ch,Wales,FALSE
22/10/1966,Northern Ireland,England,0,2,Euro Ch q & British Ch,Northern Ireland,FALSE
22/10/1966,Belgium,Switzerland,1,0,Friendly,Belgium,FALSE
22/10/1966,France,Poland,2,1,European Championship qual,France,FALSE
23/10/1966,Soviet Union,East Germany,2,2,Friendly,Soviet Union,FALSE
23/10/1966,Ireland,Spain,0,0,European Championship qual,Ireland,FALSE
26/10/1966,Denmark,Israel,3,1,Friendly,Denmark,FALSE
30/10/1966,Ivory Coast,Ghana,0,1,Friendly tournament,Ivory Coast,FALSE
30/10/1966,Hungary,Austria,3,1,Friendly,Hungary,FALSE
31/10/1966,Cameroon,Togo,2,0,Friendly,Cameroon,FALSE
01/11/1966,South Vietnam,Malaysia,3,2,Vietnam Independence Cup,South Vietnam,FALSE
01/11/1966,Ivory Coast,Ghana,1,1,Friendly tournament,Ivory Coast,FALSE
01/11/1966,Mali,Guinea,1,0,Friendly,Mali,FALSE
01/11/1966,Italy,Soviet Union,1,0,Friendly,Italy,FALSE
02/11/1966,England,Czechoslovakia,0,0,Friendly,England,FALSE
02/11/1966,Romania,Switzerland,4,2,European Championship qual,Romania,FALSE
03/11/1966,Malaysia,Thailand,1,1,Vietnam Independence Cup,South Vietnam,TRUE
05/11/1966,South Vietnam,Thailand,4,1,Vietnam Independence Cup,South Vietnam,FALSE
05/11/1966,Nigeria,DR Congo,3,2,Friendly,Nigeria,FALSE
05/11/1966,St Vincent & Grenadines,Dominica,1,0,Windward Islands Champ,Grenada,TRUE
06/11/1966,Grenada,Saint Lucia,7,1,Windward Islands Champ,Grenada,FALSE
06/11/1966,Netherlands,Czechoslovakia,1,2,Friendly,Netherlands,FALSE
06/11/1966,Sweden,Denmark,2,1,Nordic Championship,Sweden,FALSE
06/11/1966,Bulgaria,Yugoslavia,6,1,Friendly,Bulgaria,FALSE
08/11/1966,Grenada,Dominica,3,3,Windward Islands Champ,Grenada,FALSE
09/11/1966,St Vincent & Grenadines,Saint Lucia,2,1,Windward Islands Champ,Grenada,TRUE
10/11/1966,Dominica,Saint Lucia,5,3,Windward Islands Champ,Grenada,TRUE
11/11/1966,Belgium,France,2,1,European Championship qual,Belgium,FALSE
12/11/1966,Sierra Leone,Liberia,1,1,Nkrumah Cup,Sierra Leone,FALSE
12/11/1966,Grenada,St Vincent & Grenadines,1,3,Windward Islands Champ,Grenada,FALSE
13/11/1966,Portugal,Sweden,1,2,European Championship qual,Portugal,FALSE
13/11/1966,Bulgaria,Norway,4,2,European Championship qual,Bulgaria,FALSE
16/11/1966,Scotland,Northern Ireland,2,1,Euro Ch q & British Ch,Scotland,FALSE
16/11/1966,England,Wales,5,1,Euro Ch q & British Ch,England,FALSE
16/11/1966,Ireland,Turkey,2,1,European Championship qual,Ireland,FALSE
17/11/1966,Romania,Poland,4,3,Friendly,Romania,FALSE
19/11/1966,Liberia,Sierra Leone,2,0,Nkrumah Cup,Liberia,FALSE
19/11/1966,West Germany,Norway,3,0,Friendly,West Germany,FALSE
24/11/1966,Algeria,Morocco,2,2,Friendly,Algeria,FALSE
25/11/1966,Palestine,North Yemen,5,3,GANEFO Tournament,Cambodia,TRUE
25/11/1966,DR Congo,Nigeria,1,0,Friendly,DR Congo,FALSE
26/11/1966,China,Palestine,7,0,GANEFO Tournament,Cambodia,TRUE
26/11/1966,Cambodia,North Korea,0,2,GANEFO Tournament,Cambodia,FALSE
26/11/1966,North Vietnam,North Yemen,9,0,GANEFO Tournament,Cambodia,TRUE
26/11/1966,Luxembourg,France,0,3,European Championship qual,Luxembourg,FALSE
26/11/1966,Italy,Romania,3,1,European Championship qual,Italy,FALSE
27/11/1966,Cambodia,China,0,4,GANEFO Tournament,Cambodia,FALSE
27/11/1966,North Vietnam,Palestine,4,0,GANEFO Tournament,Cambodia,TRUE
29/11/1966,Cambodia,North Yemen,8,0,GANEFO Tournament,Cambodia,FALSE
29/11/1966,North Korea,Palestine,5,1,GANEFO Tournament,Cambodia,TRUE
30/11/1966,China,North Vietnam,2,0,GANEFO Tournament,Cambodia,TRUE
30/11/1966,Cambodia,North Vietnam,2,2,GANEFO Tournament,Cambodia,FALSE
30/11/1966,North Korea,North Yemen,14,0,GANEFO Tournament,Cambodia,TRUE
30/11/1966,Uganda,Kenya,1,2,Friendly,Uganda,FALSE
30/11/1966,Chile,Colombia,5,2,South American Champ qual,Chile,FALSE
30/11/1966,Netherlands,Denmark,2,0,European Championship qual,Netherlands,FALSE
02/12/1966,DR Congo,Gabon,4,3,Friendly,Central African Republic,TRUE
03/12/1966,North Korea,China,2,1,GANEFO Tournament,Cambodia,TRUE
03/12/1966,Cambodia,Palestine,4,0,GANEFO Tournament,Cambodia,FALSE
03/12/1966,Central African Republic,DR Congo,1,4,Friendly,Central African Republic,FALSE
03/12/1966,Israel,Poland,0,0,Friendly,Israel,FALSE
03/12/1966,Cyprus,Romania,1,5,European Championship qual,Cyprus,FALSE
05/12/1966,China,North Yemen,6,0,GANEFO Tournament,Cambodia,TRUE
06/12/1966,North Korea,North Vietnam,3,1,GANEFO Tournament,Cambodia,TRUE
07/12/1966,Spain,Ireland,2,0,European Championship qual,Spain,FALSE
07/12/1966,Israel,Romania,1,2,Friendly,Israel,FALSE
09/12/1966,Thailand,South Korea,3,0,Asian Games,Thailand,FALSE
09/12/1966,Libya,Egypt,2,2,African Nations Cup qualifier,Libya,FALSE
09/12/1966,New Caledonia,Solomon Islands,8,0,South Pacific Games,New Caledonia,FALSE
09/12/1966,Tahiti,Papua New Guinea,4,3,South Pacific Games,New Caledonia,TRUE
10/12/1966,Japan,India,2,1,Asian Games,Thailand,TRUE
10/12/1966,Indonesia,Singapore,3,0,Asian Games,Thailand,TRUE
10/12/1966,Iran,Malaysia,2,0,Asian Games,Thailand,TRUE
11/12/1966,Japan,Iran,3,1,Asian Games,Thailand,TRUE
11/12/1966,Indonesia,South Vietnam,0,0,Asian Games,Thailand,TRUE
11/12/1966,Burma,South Korea,1,0,Asian Games,Thailand,TRUE
11/12/1966,Colombia,Chile,0,0,South American Champ qual,Colombia,FALSE
11/12/1966,Tahiti,Wallis and Futuna,5,0,South Pacific Games,New Caledonia,TRUE
12/12/1966,India,Malaysia,2,1,Asian Games,Thailand,TRUE
12/12/1966,South Vietnam,Taiwan,2,1,Asian Games,Thailand,TRUE
12/12/1966,Kenya,Sudan,3,2,Friendly,Kenya,FALSE
12/12/1966,New Caledonia,New Hebrides,5,0,South Pacific Games,New Caledonia,FALSE
13/12/1966,Iran,India,4,1,Asian Games,Thailand,TRUE
13/12/1966,Singapore,Taiwan,3,3,Asian Games,Thailand,TRUE
13/12/1966,New Hebrides,Solomon Islands,4,4,South Pacific Games,New Caledonia,TRUE
13/12/1966,Papua New Guinea,Wallis and Futuna,9,1,South Pacific Games,New Caledonia,TRUE
14/12/1966,Japan,Malaysia,1,0,Asian Games,Thailand,TRUE
14/12/1966,Indonesia,Taiwan,3,1,Asian Games,Thailand,TRUE
14/12/1966,Singapore,South Vietnam,5,0,Asian Games,Thailand,TRUE
14/12/1966,Thailand,Burma,1,1,Asian Games,Thailand,FALSE
15/12/1966,Burma,Indonesia,2,2,Asian Games,Thailand,TRUE
15/12/1966,Thailand,Singapore,0,2,Asian Games,Thailand,FALSE
15/12/1966,New Caledonia,Papua New Guinea,4,0,South Pacific Games,New Caledonia,FALSE
15/12/1966,Tahiti,New Hebrides,3,0,South Pacific Games,New Caledonia,TRUE
16/12/1966,Japan,Singapore,5,1,Asian Games,Thailand,TRUE
16/12/1966,Iran,Indonesia,1,0,Asian Games,Thailand,TRUE
17/12/1966,Thailand,Japan,1,5,Asian Games,Thailand,FALSE
17/12/1966,Burma,Iran,1,0,Asian Games,Thailand,TRUE
17/12/1966,New Caledonia,Tahiti,0,2,South Pacific Games,New Caledonia,FALSE
17/12/1966,New Hebrides,Papua New Guinea,5,2,South Pacific Games,New Caledonia,TRUE
18/12/1966,Iran,Japan,1,0,Asian Games,Thailand,TRUE
18/12/1966,Burma,Singapore,2,0,Asian Games,Thailand,TRUE
19/12/1966,Japan,Singapore,2,0,Asian Games,Thailand,TRUE
20/12/1966,Burma,Iran,1,0,Asian Games,Thailand,TRUE
21/12/1966,Ecuador,Paraguay,2,2,South American Champ qual,Ecuador,FALSE
28/12/1966,Paraguay,Ecuador,3,1,South American Champ qual,Paraguay,FALSE
31/12/1966,Gambia,Senegal,2,1,Friendly,The Gambia,TRUE
31/12/1966,Trinidad and Tobago,Guyana,2,0,Friendly,Suriname,TRUE
04/01/1967,Gabon,DR Congo,1,0,Friendly,Gabon,FALSE
04/01/1967,Uruguay,Romania,1,1,Friendly,Uruguay,FALSE
05/01/1967,Mexico,Switzerland,3,0,Friendly,Mexico,FALSE
08/01/1967,Dahomey,Ghana,2,1,Friendly,Dahomey,FALSE
08/01/1967,Mexico,Switzerland,0,2,Friendly,Mexico,FALSE
11/01/1967,Upper Volta,Algeria,1,2,African Nations Cup qualifier,Upper Volta,FALSE
11/01/1967,Jamaica,Netherlands Antilles,1,1,CONCACAF Champ qual,Jamaica,FALSE
12/01/1967,Cuba,Haiti,1,1,CONCACAF Champ qual,Jamaica,TRUE
13/01/1967,Trinidad and Tobago,Netherlands Antilles,2,1,CONCACAF Champ qual,Jamaica,TRUE
14/01/1967,Jamaica,Cuba,2,1,CONCACAF Champ qual,Jamaica,FALSE
16/01/1967,Haiti,Trinidad and Tobago,4,2,CONCACAF Champ qual,Jamaica,TRUE
17/01/1967,Egypt,East Germany,1,2,Friendly,Egypt,FALSE
17/01/1967,Cuba,Netherlands Antilles,2,2,CONCACAF Champ qual,Jamaica,TRUE
17/01/1967,Uruguay,Bolivia,4,0,South American Champ,Uruguay,FALSE
18/01/1967,Guatemala,Honduras,3,1,Friendly,Guatemala,FALSE
18/01/1967,Jamaica,Trinidad and Tobago,1,1,CONCACAF Champ qual,Jamaica,FALSE
18/01/1967,Argentina,Paraguay,4,1,South American Champ,Uruguay,TRUE
18/01/1967,Chile,Venezuela,2,0,South American Champ,Uruguay,TRUE
19/01/1967,Haiti,Netherlands Antilles,1,0,CONCACAF Champ qual,Jamaica,TRUE
20/01/1967,Egypt,East Germany,0,3,Friendly,Egypt,FALSE
20/01/1967,Trinidad and Tobago,Cuba,2,1,CONCACAF Champ qual,Jamaica,TRUE
21/01/1967,Jamaica,Haiti,0,1,CONCACAF Champ qual,Jamaica,FALSE
21/01/1967,Uruguay,Venezuela,4,0,South American Champ,Uruguay,FALSE
22/01/1967,DR Congo,Congo,4,1,Friendly,DR Congo,FALSE
22/01/1967,Tunisia,Turkey,0,0,Friendly,Tunisia,FALSE
22/01/1967,Honduras,Guatemala,1,1,Friendly,Honduras,FALSE
22/01/1967,Argentina,Bolivia,1,0,South American Champ,Uruguay,TRUE
22/01/1967,Chile,Paraguay,4,2,South American Champ,Uruguay,TRUE
24/01/1967,Egypt,East Germany,2,2,Friendly,Egypt,FALSE
25/01/1967,Argentina,Venezuela,5,1,South American Champ,Uruguay,TRUE
25/01/1967,Paraguay,Bolivia,1,0,South American Champ,Uruguay,TRUE
26/01/1967,Liberia,Guinea,2,2,African Nations Cup qualifier,Liberia,FALSE
26/01/1967,Uruguay,Chile,2,2,South American Champ,Uruguay,FALSE
28/01/1967,Nigeria,Ghana,2,2,Azikwe Cup,Nigeria,FALSE
28/01/1967,Argentina,Chile,2,0,South American Champ,Uruguay,TRUE
28/01/1967,Venezuela,Bolivia,3,0,South American Champ,Uruguay,TRUE
29/01/1967,Sudan,East Germany,1,2,Friendly,Sudan,FALSE
29/01/1967,Upper Volta,Niger,3,2,Friendly,Upper Volta,FALSE
29/01/1967,Uruguay,Paraguay,2,0,South American Champ,Uruguay,FALSE
31/01/1967,Niger,Congo,1,3,Friendly,Niger,FALSE
31/01/1967,Martinique,Guadeloupe,2,1,Friendly,Martinique,FALSE
01/02/1967,Bolivia,Chile,0,0,South American Champ,Uruguay,TRUE
01/02/1967,Paraguay,Venezuela,5,3,South American Champ,Uruguay,TRUE
01/02/1967,Turkey,Spain,0,0,European Championship qual,Turkey,FALSE
02/02/1967,Uruguay,Argentina,1,0,South American Champ,Uruguay,FALSE
03/02/1967,Mali,Congo,1,0,Friendly,Mali,FALSE
05/02/1967,Tunisia,Cameroon,4,0,African Nations Cup qualifier,Tunisia,FALSE
05/02/1967,Mali,Algeria,0,3,African Nations Cup qualifier,Mali,FALSE
12/02/1967,Iraq,East Germany,1,1,Friendly,Iraq,FALSE
12/02/1967,Ghana,Nigeria,2,0,Azikwe Cup,Ghana,FALSE
12/02/1967,Upper Volta,Mali,0,1,African Nations Cup qualifier,Upper Volta,FALSE
13/02/1967,Guatemala,Panama,3,1,CONCACAF Champ qual,Guatemala,FALSE
15/02/1967,Greece,Libya,4,0,Friendly,Greece,FALSE
15/02/1967,Guatemala,Nicaragua,3,1,CONCACAF Champ qual,Guatemala,FALSE
17/02/1967,Nicaragua,Panama,3,1,CONCACAF Champ qual,Guatemala,TRUE
19/02/1967,Ethiopia,Kenya,2,0,East African Friendship Cup,Sudan,TRUE
19/02/1967,Ghana,Ivory Coast,2,2,Friendly,Ghana,FALSE
19/02/1967,Tunisia,Congo,1,1,African Nations Cup qualifier,Tunisia,FALSE
21/02/1967,Sudan,Tanzania,1,0,East African Friendship Cup,Sudan,FALSE
22/02/1967,West Germany,Morocco,5,1,Friendly,West Germany,FALSE
22/02/1967,Turkey,Ireland,2,1,European Championship qual,Turkey,FALSE
23/02/1967,Kenya,Tanzania,2,0,East African Friendship Cup,Sudan,TRUE
24/02/1967,Uganda,DR Congo,0,5,Friendly,Uganda,FALSE
24/02/1967,Sudan,Ethiopia,1,1,East African Friendship Cup,Sudan,FALSE
25/02/1967,Guinea,Senegal,3,0,African Nations Cup qualifier,Guinea,FALSE
26/02/1967,Sudan,Ethiopia,5,3,East African Friendship Cup,Sudan,FALSE
26/02/1967,Cameroon,Congo,1,1,African Nations Cup qualifier,Cameroon,FALSE
26/02/1967,Mali,Upper Volta,4,0,African Nations Cup qualifier,Mali,FALSE
28/02/1967,Ethiopia,Sudan,2,1,Friendly,Ethiopia,FALSE
28/02/1967,Togo,DR Congo,2,4,Friendly,Togo,FALSE
01/03/1967,Luxembourg,Switzerland,1,0,Friendly,Luxembourg,FALSE
05/03/1967,Uganda,Kenya,2,1,African Nations Cup qualifier,Uganda,FALSE
05/03/1967,Dahomey,Congo,1,1,Friendly,Dahomey,FALSE
05/03/1967,Ivory Coast,Liberia,1,1,Friendly,Ivory Coast,FALSE
05/03/1967,Honduras,Trinidad and Tobago,1,0,CONCACAF Championship,Honduras,FALSE
06/03/1967,Guatemala,Haiti,2,1,CONCACAF Championship,Honduras,TRUE
06/03/1967,Mexico,Nicaragua,4,0,CONCACAF Championship,Honduras,TRUE
07/03/1967,Libya,Sudan,1,1,Friendly tournament,Libya,FALSE
08/03/1967,Trinidad and Tobago,Haiti,3,2,CONCACAF Championship,Honduras,TRUE
08/03/1967,Honduras,Nicaragua,1,1,CONCACAF Championship,Honduras,FALSE
08/03/1967,Greece,Romania,1,2,Friendly,Greece,FALSE
10/03/1967,Iraq,Sudan,2,2,Friendly tournament,Libya,TRUE
10/03/1967,Guatemala,Mexico,1,0,CONCACAF Championship,Honduras,TRUE
10/03/1967,Haiti,Nicaragua,2,1,CONCACAF Championship,Honduras,TRUE
12/03/1967,Libya,Iraq,0,1,Friendly tournament,Libya,FALSE
12/03/1967,Nigeria,Ivory Coast,0,0,African Nations Cup qualifier,Nigeria,FALSE
12/03/1967,Algeria,Mali,1,0,African Nations Cup qualifier,Algeria,FALSE
12/03/1967,Honduras,Guatemala,0,0,CONCACAF Championship,Honduras,FALSE
12/03/1967,Mexico,Trinidad and Tobago,4,0,CONCACAF Championship,Honduras,TRUE
14/03/1967,Guatemala,Trinidad and Tobago,2,0,CONCACAF Championship,Honduras,TRUE
14/03/1967,Mexico,Haiti,1,0,CONCACAF Championship,Honduras,TRUE
16/03/1967,Honduras,Haiti,2,0,CONCACAF Championship,Honduras,FALSE
16/03/1967,Trinidad and Tobago,Nicaragua,3,1,CONCACAF Championship,Honduras,TRUE
18/03/1967,DR Congo,Sudan,3,2,African Nations Cup qualifier,DR Congo,FALSE
19/03/1967,Kenya,Uganda,3,3,African Nations Cup qualifier,Kenya,FALSE
19/03/1967,Congo,Ghana,3,1,Friendly,Congo,FALSE
19/03/1967,Senegal,Guinea,4,1,African Nations Cup qualifier,Senegal,FALSE
19/03/1967,Guatemala,Nicaragua,2,0,CONCACAF Championship,Honduras,TRUE
19/03/1967,Honduras,Mexico,0,1,CONCACAF Championship,Honduras,FALSE
19/03/1967,Luxembourg,Belgium,0,5,European Championship qual,Luxembourg,FALSE
22/03/1967,Hong Kong,South Vietnam,2,0,Asian Cup qualifier,Hong Kong,FALSE
22/03/1967,Algeria,Hungary,0,1,Friendly tournament,Algeria,FALSE
22/03/1967,France,Romania,1,2,Friendly,France,FALSE
22/03/1967,West Germany,Bulgaria,1,0,Friendly,West Germany,FALSE
22/03/1967,Cyprus,Italy,0,2,European Championship qual,Cyprus,FALSE
24/03/1967,South Vietnam,Thailand,1,0,Asian Cup qualifier,Hong Kong,TRUE
24/03/1967,Malaysia,Singapore,1,1,Asian Cup qualifier,Hong Kong,TRUE
24/03/1967,Egypt,Libya,3,2,African Nations Cup qualifier,Egypt,FALSE
25/03/1967,Kenya,DR Congo,5,4,Friendly,Kenya,FALSE
26/03/1967,Hong Kong,Malaysia,3,1,Asian Cup qualifier,Hong Kong,FALSE
26/03/1967,Thailand,Singapore,4,1,Asian Cup qualifier,Hong Kong,TRUE
26/03/1967,Kenya,DR Congo,1,1,Friendly,Kenya,FALSE
27/03/1967,Italy,Portugal,1,1,Friendly,Italy,FALSE
28/03/1967,Gabon,Ivory Coast,0,3,Friendly,Gabon,FALSE
29/03/1967,Malaysia,South Vietnam,2,0,Asian Cup qualifier,Hong Kong,TRUE
29/03/1967,Hong Kong,Singapore,2,0,Asian Cup qualifier,Hong Kong,FALSE
31/03/1967,Thailand,Malaysia,1,0,Asian Cup qualifier,Hong Kong,TRUE
02/04/1967,South Vietnam,Singapore,3,0,Asian Cup qualifier,Hong Kong,TRUE
02/04/1967,Hong Kong,Thailand,2,0,Asian Cup qualifier,Hong Kong,FALSE
02/04/1967,Sudan,DR Congo,1,0,African Nations Cup qualifier,Sudan,FALSE
02/04/1967,Togo,Nigeria,1,0,African Nations Cup qualifier,Togo,FALSE
02/04/1967,Ghana,Dahomey,2,1,Friendly,Ghana,FALSE
02/04/1967,Guinea,Liberia,3,0,African Nations Cup qualifier,Guinea,FALSE
05/04/1967,East Germany,Netherlands,4,3,European Championship qual,East Germany,FALSE
08/04/1967,West Germany,Albania,6,0,European Championship qual,West Germany,FALSE
09/04/1967,Madagascar,Tanzania,4,2,Olympic Games qualifier,Madagascar,FALSE
09/04/1967,Togo,Ivory Coast,0,2,African Nations Cup qualifier,Togo,FALSE
09/04/1967,Algeria,Upper Volta,3,1,African Nations Cup qualifier,Algeria,FALSE
09/04/1967,Liberia,Senegal,1,1,African Nations Cup qualifier,Liberia,FALSE
12/04/1967,Northern Ireland,Wales,0,0,Euro Ch q & British Ch,Northern Ireland,FALSE
15/04/1967,Nigeria,Togo,4,2,African Nations Cup qualifier,Nigeria,FALSE
15/04/1967,England,Scotland,2,3,Euro Ch q & British Ch,England,FALSE
16/04/1967,Tanzania,Madagascar,0,2,Olympic Games qualifier,Tanzania,FALSE
16/04/1967,Belgium,Netherlands,1,0,Friendly,Belgium,FALSE
16/04/1967,Luxembourg,Poland,0,0,European Championship qual,Luxembourg,FALSE
19/04/1967,Congo,DR Congo,3,1,Friendly,Congo,FALSE
21/04/1967,Libya,Niger,2,0,Olympic Games qualifier,Libya,FALSE
23/04/1967,Hungary,Yugoslavia,1,0,Friendly,Hungary,FALSE
23/04/1967,Romania,Cyprus,7,0,European Championship qual,Romania,FALSE
30/04/1967,DR Congo,Ghana,2,0,Friendly,DR Congo,FALSE
30/04/1967,Ivory Coast,Togo,3,0,African Nations Cup qualifier,Ivory Coast,FALSE
03/05/1967,Switzerland,Czechoslovakia,1,2,Friendly,Switzerland,FALSE
03/05/1967,Yugoslavia,West Germany,1,0,European Championship qual,Yugoslavia,FALSE
07/05/1967,Ivory Coast,Nigeria,2,0,African Nations Cup qualifier,Ivory Coast,FALSE
10/05/1967,Scotland,Soviet Union,0,2,Friendly,Scotland,FALSE
10/05/1967,Hungary,Netherlands,2,1,European Championship qual,Hungary,FALSE
10/05/1967,Finland,Greece,1,1,European Championship qual,Finland,FALSE
14/05/1967,Suriname,French Guiana,6,1,Friendly,Suriname,FALSE
14/05/1967,Albania,Yugoslavia,0,2,European Championship qual,Albania,FALSE
15/05/1967,Suriname,French Guiana,3,0,Friendly,Suriname,FALSE
16/05/1967,Israel,Scotland,1,2,Friendly,Israel,FALSE
17/05/1967,Congo,Tanzania,6,1,Friendly,Congo,FALSE
17/05/1967,Sweden,East Germany,0,1,Friendly,Sweden,FALSE
21/05/1967,Congo,Cameroon,2,1,African Nations Cup qualifier,Congo,FALSE
21/05/1967,Dominican Republic,Haiti,0,8,Olympic Games qualifier,Dominican Republic,FALSE
21/05/1967,Trinidad and Tobago,Suriname,1,0,Olympic Games qualifier,Trinidad and Tobago,FALSE
21/05/1967,Poland,Belgium,3,1,European Championship qual,Poland,FALSE
